   #time        bulkEdge        monoEdge    contactAngle   dropletHeight       avgRadius       avgDipole            MSDx            MSDy            MSDz          MSDavg       frameFlux          dMe_dt           nMono           chi2s
01010000       54.536866      120.537966        0.918826       12.217122       42.111545       -0.037695     6512.744831     4050.961655     6451.997772     5671.901419             -61        0.461944             759        0.000000
01020000       51.592815      118.691660        0.905914       12.463068       42.104806       -0.047132     6601.416381     4076.512252     6448.888489     5708.939041             -74       -0.369261             685        0.000000
01030000       47.170760      117.846088        0.882752       12.771412       42.301496       -0.040922     6684.727667     4101.098893     6463.652442     5749.826334             186       -0.169114             871        0.000000
01040000       48.082067      118.456753        0.893046       12.428802       42.426850       -0.037789     6767.545708     4137.554356     6464.635829     5789.911964             -44        0.122133             827        0.000000
01050000       50.589786      119.858620        0.905513       12.265290       42.691976       -0.037678     6854.085942     4178.917916     6470.703328     5834.569062              42        0.280373             869        0.000000
01060000       53.748229      120.212371        0.920548       11.932077       43.059901       -0.035230     6880.124565     4191.536877     6479.936465     5850.532636             -12        0.070750             857        0.000000
01070000       56.113387      119.584167        0.928234       11.825489       43.356861       -0.044422     6916.022914     4206.341168     6457.571033     5859.978372            -231       -0.125641             626        0.000000
01080000       52.328883      119.836912        0.912335       12.204013       43.323777       -0.039242     6939.260613     4216.327518     6462.849420     5872.812517             158        0.050549             784        0.000000
01090000       51.982808      119.855961        0.913092       12.079531       43.402826       -0.043750     6997.441761     4231.418115     6498.153587     5909.004488              91        0.003810             875        0.000000
01100000       53.635396      119.033691        0.919986       11.949275       43.897337       -0.033333     7076.037404     4240.456939     6481.871972     5932.788772             -80       -0.164454             795        0.000000
01110000       51.767203      117.552880        0.911707       12.125206       44.007409       -0.038961     7147.711815     4262.435798     6473.796588     5961.314734            -193       -0.296162             602        0.000000
01120000       52.591808      118.882928        0.914434       12.118565       43.959209       -0.038806     7178.704148     4281.344600     6520.612479     5993.553743             261        0.266010             863        0.000000
01130000       53.913003      120.787686        0.920143       11.994714       44.177721       -0.040497     7220.646179     4284.699794     6482.719793     5996.021922            -327        0.380952             536        0.000000
01140000       52.676639      124.422032        0.914925       12.103074       44.478195       -0.044325     7270.894770     4303.997631     6518.201566     6031.031322              96        0.726869             632        0.000000
01150000       53.615838      124.043746        0.921871       11.810265       44.775006       -0.045109     7310.996893     4311.960484     6544.286585     6055.747987             181       -0.075657             813        0.000000
01160000       57.104839      124.625436        0.935960       11.386009       45.104169       -0.042830     7317.692429     4326.697366     6515.467295     6053.285697            -223        0.116338             590        0.000000
01170000       56.248132      127.214156        0.935630       11.257463       45.003357       -0.040412     7318.542087     4337.335990     6553.344193     6069.740756             291        0.517744             881        0.000000
01180000       52.666112      127.147602        0.924550       11.427851       45.157148       -0.043631     7360.231875     4354.098108     6552.634875     6088.988286               5       -0.013311             886        0.000000
01190000       53.049861      125.108876        0.923839       11.555214       45.409420       -0.041044     7397.980761     4361.468087     6565.997537     6108.482128              20       -0.407745             906        0.000000
01200000       53.449333      123.600902        0.927392       11.374059       45.296060       -0.042730     7406.672190     4382.189254     6552.990762     6113.950735             -74       -0.301595             832        0.000000
01210000       52.624929      126.010610        0.920962       11.674578       45.672534       -0.035885     7420.617438     4398.445610     6573.788529     6130.950526              97        0.481942             929        0.000000
01220000       53.092479      125.251902        0.930684       11.059878       45.922980       -0.049108     7464.304417     4408.195862     6582.369729     6151.623336             -33       -0.151741             896        0.000000
01230000       56.461299      124.672360        0.939631       10.960878       46.283927       -0.040974     7487.009789     4425.039485     6557.894103     6156.647792            -122       -0.115908             774        0.000000
01240000       57.582108      124.528187        0.940220       11.107389       46.399128       -0.044176     7516.048984     4445.455364     6539.815323     6167.106557            -197       -0.028835             577        0.000000
01250000       57.559669      125.140091        0.943209       10.840048       46.721987       -0.040957     7541.575026     4452.641912     6587.764469     6193.993802             283        0.122381             860        0.000000
01260000       57.074181      124.410214        0.942406       10.827854       46.547534       -0.042810     7539.567393     4477.855458     6558.335417     6191.919423            -117       -0.145975             743        0.000000
01270000       54.088779      124.526344        0.932136       11.136948       46.861463       -0.041105     7573.711971     4490.853442     6583.097825     6215.887746             133        0.023226             876        0.000000
01280000       55.665214      123.407821        0.938243       10.936245       47.158974       -0.044920     7601.676131     4522.744359     6599.471497     6241.297329              33       -0.223705             909        0.000000
01290000       57.852748      125.671612        0.945437       10.688696       47.498797       -0.040720     7628.573418     4539.325905     6608.324114     6258.741146              14        0.452758             923        0.000000
