#timest       avgRadius       avgDipole    monoExchange            MSDx            MSDy            MSDz          MSDavg 
00368000       47.079720       -0.008243        0.000000      446.605806      467.525596     1749.651064       887.927489
00370000       47.099087       -0.011099        1.000000      447.069833      470.196857     1751.808053       889.691581
00372000       47.082938       -0.008711        1.000000      447.712084      469.345167     1754.877172       890.644807
00374000       47.079514       -0.010370        1.000000      448.700671      469.291378     1758.119393       892.037147
00376000       47.064193       -0.010054        1.000000      450.804757      468.207527     1763.542162       894.184815
00378000       47.103281       -0.010043        1.000000      454.099082      470.063626     1769.266578       897.809762
00380000       47.183942       -0.010542        5.000000      459.153210      470.297745     1776.090894       901.847283
00382000       47.325346       -0.010759        5.000000      464.957349      472.211834     1782.408971       906.526051
00384000       47.450916       -0.009180        5.000000      468.865327      475.284824     1796.094304       913.414818
00386000       47.581189       -0.011336        5.000000      472.756649      478.469893     1804.979410       918.735317
00388000       47.706005       -0.009925        5.000000      477.469184      480.904729     1811.886885       923.420266
00390000       47.743513       -0.010969        2.000000      478.633861      481.997541     1815.385459       925.338954
00392000       47.771326       -0.012295        2.000000      479.969471      483.511309     1817.044123       926.841635
00394000       47.792793       -0.007125        2.000000      479.623805      488.292624     1822.530317       930.148915
00396000       47.785097       -0.009258        2.000000      479.125855      491.260710     1825.645726       932.010764
00398000       47.798204       -0.006737        2.000000      479.435566      493.286844     1832.139623       934.954011
00400000       47.942689       -0.009107        0.000000      481.852392      498.966961     1831.642243       937.487199
00402000       48.098318       -0.009758        0.000000      484.701254      503.209454     1832.333473       940.081393
00404000       48.228465       -0.011598        0.000000      487.201209      508.063010     1836.378216       943.880812
00406000       48.295544       -0.009931        0.000000      487.622972      513.576318     1842.600957       947.933416
00408000       48.373811       -0.010963        0.000000      488.320841      517.946345     1844.142615       950.136600
00410000       48.446726       -0.007786       -1.000000      489.343730      521.766769     1843.233592       951.448030
00412000       48.522088       -0.009385       -1.000000      491.565481      524.391024     1842.751060       952.902522
00414000       48.502152       -0.011322       -1.000000      492.037574      525.065186     1844.893274       953.998678
00416000       48.486312       -0.008532       -1.000000      493.869037      524.589797     1848.570500       955.676445
00418000       48.538590       -0.009290       -1.000000      496.677418      527.177031     1850.905928       958.253459
00420000       48.582990       -0.008796        0.000000      499.944300      529.866371     1858.948981       962.919884
00422000       48.694379       -0.010607        0.000000      504.046430      534.706842     1866.657604       968.470292
00424000       48.704058       -0.010829        0.000000      503.973743      536.251277     1872.539384       970.921468
00426000       48.764471       -0.011126        0.000000      508.618603      538.341853     1879.811629       975.590695
00428000       48.822580       -0.011239        0.000000      511.118588      540.147384     1887.108378       979.458117
00430000       48.862144       -0.007365       -3.000000      512.472959      541.970325     1892.775380       982.406221
00432000       48.887631       -0.009142       -3.000000      512.200708      544.013265     1893.388950       983.200975
00434000       48.875868       -0.009105       -3.000000      512.980693      543.902347     1894.868563       983.917201
00436000       48.976647       -0.009273       -3.000000      517.898609      546.289756     1899.480618       987.889661
00438000       49.025998       -0.010668       -3.000000      522.990358      544.918494     1901.101283       989.670045
00440000       49.037497       -0.006159        0.000000      524.723057      543.587307     1901.331404       989.880590
00442000       49.066322       -0.009885        0.000000      527.538922      543.743325     1899.655882       990.312710
00444000       49.110517       -0.009230        0.000000      528.535077      546.101988     1901.239882       991.958982
00446000       49.106281       -0.010584        0.000000      527.991566      549.618153     1903.943703       993.851141
00448000       49.137403       -0.010549        0.000000      529.433425      552.545485     1902.872497       994.950469
00450000       49.179492       -0.009203       -1.000000      530.771451      555.648902     1898.652181       995.024178
00452000       49.243460       -0.009150       -1.000000      533.695555      557.008970     1898.716151       996.473558
00454000       49.249694       -0.008631       -1.000000      535.558040      556.580235     1902.577568       998.238614
00456000       49.293015       -0.009871       -1.000000      539.645091      556.910781     1903.691490      1000.082454
00458000       49.359625       -0.010859       -1.000000      541.804483      559.195771     1901.292149      1000.764134
00460000       49.424647       -0.011893        0.000000      543.479088      562.641149     1908.102013      1004.740750
00462000       49.478246       -0.010451        0.000000      544.577448      565.367503     1915.267725      1008.404226
00464000       49.508779       -0.010812        0.000000      545.900225      566.297719     1921.035460      1011.077802
00466000       49.515044       -0.011201        0.000000      546.829056      566.531556     1923.800922      1012.387178
00468000       49.468499       -0.014949        0.000000      544.563741      567.278682     1925.286834      1012.376419
00470000       49.422966       -0.009724        2.000000      543.643437      566.299496     1930.097268      1013.346734
00472000       49.437211       -0.009154        2.000000      544.480309      568.046826     1930.480031      1014.335722
00474000       49.439320       -0.011796        2.000000      546.035559      567.016362     1934.471912      1015.841278
00476000       49.499782       -0.009697        2.000000      546.729246      572.245808     1939.159427      1019.378160
00478000       49.582420       -0.010074        2.000000      551.085671      576.089561     1944.802724      1023.992652
00480000       49.657159       -0.011672       -1.000000      553.960112      579.624662     1948.513779      1027.366184
00482000       49.688225       -0.010815       -1.000000      555.409385      581.574544     1952.576098      1029.853343
00484000       49.667979       -0.009244       -1.000000      554.204515      583.020574     1951.702567      1029.642552
00486000       49.673371       -0.010695       -1.000000      556.096619      585.128827     1949.817510      1030.347652
00488000       49.720928       -0.012603       -1.000000      557.992019      586.644753     1953.476745      1032.704506
00490000       49.762295       -0.013271        0.000000      560.285035      588.112784     1951.856665      1033.418161
00492000       49.729591       -0.010818        0.000000      559.270664      590.701213     1950.825819      1033.599232
00494000       49.777275       -0.012003        0.000000      559.572786      595.253142     1950.865068      1035.230332
00496000       49.888553       -0.011427        0.000000      562.937204      600.354705     1953.276183      1038.856031
00498000       49.961182       -0.009336        0.000000      565.473793      604.113656     1955.255092      1041.614180
